step,samples_seen,step_over_d,step_over_d2,phase,phase_step,last_task,train_W,train_w,include_lora,n_S_seen,n_Sprime_seen,n_S_over_d2,n_Sprime_over_d,train_loss_last,train_loss_mean_since_log,train_loss_S_mean_since_log,train_loss_Sprime_mean_since_log,lr_W,lr_w,elapsed_sec,Q0,Q,M,rho_W,eps_W,q0,q,m,rho_w,eps_w,C_W_from_wstar,C_w_from_Wstar,C_W_w,Delta_eff,E_S,E_Sprime,E_S_W_only,grad_W_S_norm,grad_W_Sprime_norm,grad_w_S_norm,grad_w_Sprime_norm,Gamma_W,Gamma_w,F_S
0,0,0.0,0.0,initial,0,none,False,False,True,0,0,0.0,0.0,nan,nan,nan,nan,0.001,0.001,1.7099082469940186e-06,1.994584321975708,1.9937628507614136,1.0102918148040771,0.5066218122332676,1.9677635431289673,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010037183528766036,-0.006856794003397226,0.0010086463298648596,1.9677635431289673,1.747550129890442,2.043030023574829,1.3237707614898682,1.022336721420288,1.2455722093582153,1.1831740140914917,0.723021388053894,0.0012609993573278189,0.12061996012926102,0.0
500,500,2.5,0.0125,train_W,500,Sprime,True,False,True,259,241,0.006475,1.205,0.8560904264450073,2.012255659490824,1.887024367235342,2.146840326271611,0.001,0.001,2.9089531172066927,1.994584321975708,1.9935826063156128,1.0103130340576172,0.5066553552508694,1.9675408601760864,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-8.404731488553807e-05,-0.006856794003397226,0.0009800222469493747,1.9675408601760864,1.7474511861801147,2.042926788330078,1.3236584663391113,1.0222740173339844,1.245506763458252,1.1830430030822754,0.72295081615448,0.0012598902685567737,0.1206107884645462,0.0
1000,1000,5.0,0.025,train_W,1000,Sprime,True,False,True,492,508,0.0123,2.54,2.8102529048919678,1.920074280500412,1.818093166586667,2.009069035338998,0.001,0.001,5.650523545220494,1.994584321975708,1.993377685546875,1.0103306770324707,0.5066902449791405,1.9673006534576416,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-7.040443597361445e-05,-0.006856794003397226,0.0009537696605548263,1.9673006534576416,1.7473469972610474,2.042811632156372,1.3235375881195068,1.0223557949066162,1.2454373836517334,1.1832112073898315,0.7230480313301086,0.001258463249541819,0.12060684710741043,0.0
1500,1500,7.5,0.0375,train_W,1500,Sprime,True,False,True,752,748,0.0188,3.74,1.7922286987304688,1.8868173877894878,1.7969124040351465,1.9842144535233577,0.001,0.001,8.390473891049623,1.994584321975708,1.9932060241699219,1.0103528499603271,0.506723183822899,1.9670846462249756,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-5.2282619435573e-05,-0.006856794003397226,0.000927056884393096,1.9670846462249756,1.7472565174102783,2.0427069664001465,1.3234283924102783,1.0224393606185913,1.2452844381332397,1.183221459388733,0.7229553461074829,0.0012602763017639518,0.12058602273464203,0.0
2000,2000,10.0,0.05,train_W,2000,Sprime,True,False,True,1001,999,0.025025,4.995,0.5807971954345703,1.8769869526326657,1.693145278407388,2.059363752959734,0.001,0.001,11.1314183678478,1.994584321975708,1.993029236793518,1.0103741884231567,0.5067563595935123,1.9668651819229126,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-3.42138773703482e-05,-0.006856794003397226,0.0008990149945020676,1.9668651819229126,1.7471611499786377,2.0425970554351807,1.3233189582824707,1.0223920345306396,1.2452890872955322,1.1832125186920166,0.7230827808380127,0.0012586609227582812,0.12056300044059753,0.0
2500,2500,12.5,0.0625,train_W,2500,Sprime,True,False,True,1263,1237,0.031575,6.185,3.5585522651672363,1.8504928311109543,1.6706622721812197,2.04845756405041,0.001,0.001,13.859797036275268,1.994584321975708,1.992853045463562,1.0103946924209595,0.5067890449684745,1.966647982597351,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-1.892170803330373e-05,-0.006856794003397226,0.0008706105872988701,1.966647982597351,1.7470686435699463,2.042492151260376,1.3232049942016602,1.0226008892059326,1.2453216314315796,1.1832242012023926,0.7233357429504395,0.0012572932755574584,0.120522141456604,0.0
3000,3000,15.0,0.075,train_W,3000,Sprime,True,False,True,1517,1483,0.037925,7.415,0.36789748072624207,1.8440496686697005,1.7440517073071848,1.9472995962553876,0.001,0.001,16.604069888591766,1.994584321975708,1.9926698207855225,1.0104146003723145,0.5068223296886213,1.9664249420166016,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-5.791234798380174e-06,-0.006856794003397226,0.000843679765239358,1.9664249420166016,1.7469689846038818,2.042386531829834,1.3230900764465332,1.0227737426757812,1.2454683780670166,1.183337688446045,0.7235357165336609,0.001257591531611979,0.12049759924411774,0.0
3500,3500,17.5,0.0875,train_W,3500,Sprime,True,False,True,1779,1721,0.044475,8.605,3.2720484733581543,1.8875641253739595,1.7461693548803565,2.043217192051791,0.001,0.001,19.32501376979053,1.994584321975708,1.9924876689910889,1.0104382038116455,0.5068573358143799,1.9661955833435059,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,7.951641237013973e-06,-0.006856794003397226,0.000819637265522033,1.9661955833435059,1.7468711137771606,2.042271137237549,1.3229737281799316,1.022789716720581,1.245550274848938,1.1833837032318115,0.7238679528236389,0.0012544958153739572,0.12046350538730621,0.0
4000,4000,20.0,0.1,train_W,4000,Sprime,True,False,True,2034,1966,0.05085,9.83,2.789520263671875,1.8759149857461452,1.6926583315811905,2.0666515033464044,0.001,0.001,22.05869037657976,1.994584321975708,1.9923057556152344,1.0104659795761108,0.5068944088925088,1.9659581184387207,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,2.3646211047889665e-05,-0.006856794003397226,0.0007934918976388872,1.9659581184387207,1.74676513671875,2.042147159576416,1.322849154472351,1.0226256847381592,1.245620608329773,1.1832270622253418,0.7236079573631287,0.0012556260917335749,0.1204996332526207,0.0
4500,4500,22.5,0.1125,train_W,4500,Sprime,True,False,True,2278,2222,0.05695,11.11,1.6038367748260498,1.9339079819321632,1.7507220893854,2.108507035765797,0.001,0.001,24.786444334313273,1.994584321975708,1.9921334981918335,1.0104886293411255,0.5069276863129984,1.9657405614852905,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,4.2762228986248374e-05,-0.006856794003397226,0.0007654006476514041,1.9657405614852905,1.7466707229614258,2.0420405864715576,1.32273530960083,1.0227560997009277,1.2455825805664062,1.18345308303833,0.7237117290496826,0.0012552635744214058,0.12048640847206116,0.0
