step,samples_seen,step_over_d,step_over_d2,phase,phase_step,last_task,train_W,train_w,include_lora,n_S_seen,n_Sprime_seen,n_S_over_d2,n_Sprime_over_d,train_loss_last,train_loss_mean_since_log,train_loss_S_mean_since_log,train_loss_Sprime_mean_since_log,lr_W,lr_w,elapsed_sec,Q0,Q,M,rho_W,eps_W,q0,q,m,rho_w,eps_w,C_W_from_wstar,C_w_from_Wstar,C_W_w,Delta_eff,E_S,E_Sprime,E_S_W_only,grad_W_S_norm,grad_W_Sprime_norm,grad_w_S_norm,grad_w_Sprime_norm,Gamma_W,Gamma_w,F_S
0,0,0.0,0.0,initial,0,none,False,False,True,0,0,0.0,0.0,nan,nan,nan,nan,0.001,0.001,2.0116567611694336e-06,1.994584321975708,1.9937628507614136,1.0102918148040771,0.5066218122332676,1.9677635431289673,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010037183528766036,-0.006856794003397226,0.0010086463298648596,1.9677635431289673,1.747550129890442,2.043030023574829,1.3237707614898682,1.022336721420288,1.2455722093582153,1.1831740140914917,0.723021388053894,0.0012609993573278189,0.12061996012926102,0.0
500,500,2.5,0.0125,joint,500,Sprime,True,True,True,259,241,0.006475,1.205,0.8549423217773438,2.010707984775305,1.8853813111206739,2.1453951568771696,0.001,0.001,2.4118957463651896,1.994584321975708,1.9935821294784546,1.0103130340576172,0.506655415843328,1.9675403833389282,0.9436385631561279,1.1844900846481323,0.018624424934387207,0.017616284554486557,2.292776760096828,-8.403792162425816e-05,-0.006783617194741964,0.0009690904407761991,1.9675403833389282,1.7445335388183594,2.0402321815490723,1.3236583471298218,1.0242811441421509,1.2454161643981934,1.190881609916687,0.7166947722434998,0.0013066481333225965,0.12102662771940231,0.0
1000,1000,5.0,0.025,joint,1000,Sprime,True,True,True,492,508,0.0123,2.54,2.8005850315093994,1.9164289718866347,1.8143742418340347,2.0054879685242972,0.001,0.001,4.659516338258982,1.994584321975708,1.9933764934539795,1.0103306770324707,0.5066903964863326,1.967299461364746,0.9436385631561279,1.1794945001602173,0.01868302747607231,0.01770909844070088,2.280962902752219,-7.036666647763923e-05,-0.006708106026053429,0.0008918000967241824,1.967299461364746,1.7419108152389526,2.0379130840301514,1.3235374689102173,1.0277193784713745,1.245013952255249,1.2035717964172363,0.7130900025367737,0.0013448442332446575,0.121269091963768,0.0
1500,1500,7.5,0.0375,joint,1500,Sprime,True,True,True,752,748,0.0188,3.74,1.7791146039962769,1.8803947488367558,1.7903146335138724,1.977981540436546,0.001,0.001,6.894093073904514,1.994584321975708,1.99320387840271,1.0103527307510376,0.5067233967899841,1.9670827388763428,0.9436385631561279,1.1740206480026245,0.01859954372048378,0.01767101853732262,2.2680863337586437,-5.2220915677025914e-05,-0.006651200819760561,0.0008479371899738908,1.9670827388763428,1.7391799688339233,2.03536319732666,1.3234277963638306,1.028680443763733,1.244857668876648,1.2086125612258911,0.7087569832801819,0.0013830637326464057,0.12189105153083801,0.0
2000,2000,10.0,0.05,joint,2000,Sprime,True,True,True,1001,999,0.025025,4.995,0.571082353591919,1.86772928956151,1.6844824876292164,2.049515957613865,0.001,0.001,9.129303183406591,1.994584321975708,1.9930249452590942,1.010373592376709,0.5067566062372839,1.9668620824813843,0.9436385631561279,1.1684825420379639,0.018623676151037216,0.017735827521279994,2.2551115062961062,-3.410410863580182e-05,-0.006592042278498411,0.0007925796089693904,1.9668620824813843,1.7364445924758911,2.032775402069092,1.3233169317245483,1.0302401781082153,1.2448371648788452,1.2178122997283936,0.704253613948822,0.001431202283129096,0.12215648591518402,0.0
2500,2500,12.5,0.0625,joint,2500,Sprime,True,True,True,1263,1237,0.031575,6.185,3.5538313388824463,1.8388824042081833,1.6589835270215536,2.0369223446405234,0.001,0.001,11.358214063569903,1.994584321975708,1.992846965789795,1.0103939771652222,0.5067894592555261,1.9666433334350586,0.9436385631561279,1.1631728410720825,0.018568111583590508,0.01772322579047257,2.2427352465475003,-1.8738841390586458e-05,-0.006541608367115259,0.0007179572712630033,1.9666433334350586,1.733777403831482,2.0303096771240234,1.3232028484344482,1.0334248542785645,1.2438220977783203,1.2277252674102783,0.6993175148963928,0.0014874407788738608,0.12300257384777069,0.0
3000,3000,15.0,0.075,joint,3000,Sprime,True,True,True,1517,1483,0.037925,7.415,0.36505386233329773,1.8307461427599192,1.7307766619923077,1.9339666635524937,0.001,0.001,13.585297478362918,1.994584321975708,1.9926608800888062,1.0104135274887085,0.5068229285379623,1.9664181470870972,0.9436385631561279,1.1581377983093262,0.018534664064645767,0.01772971525165502,2.2310498302041566,-5.578136097028619e-06,-0.00647767772898078,0.0006442070007324219,1.9664181470870972,1.7311675548553467,2.0279629230499268,1.3230865001678467,1.0364084243774414,1.243942141532898,1.2387820482254028,0.6945022940635681,0.001539801131002605,0.12368451058864594,0.0
3500,3500,17.5,0.0875,joint,3500,Sprime,True,True,True,1779,1721,0.044475,8.605,3.2532107830047607,1.871252722710371,1.7294805540155818,2.027321244550853,0.001,0.001,15.81028718687594,1.994584321975708,1.9924753904342651,1.01043701171875,0.5068582995758412,1.9661856889724731,0.9436385631561279,1.1527425050735474,0.018576521426439285,0.017811290988424395,2.218578846581985,8.196258022508118e-06,-0.006429549306631088,0.000643309555016458,1.9661856889724731,1.7284985780715942,2.0255134105682373,1.32296884059906,1.039131999015808,1.243873119354248,1.2534672021865845,0.6898999214172363,0.0015958247240632772,0.12384021282196045,0.0
4000,4000,20.0,0.1,joint,4000,Sprime,True,True,True,2034,1966,0.05085,9.83,2.7424163818359375,1.857351809322834,1.6748624917338877,2.0472896704868395,0.001,0.001,18.037756958976388,1.994584321975708,1.9922895431518555,1.0104641914367676,0.5068955743279012,1.9659454822540283,0.9436385631561279,1.1474764347076416,0.018679317086935043,0.01795090160619808,2.2064580723110536,2.4154662241926417e-05,-0.006352183409035206,0.0006050210795365274,1.9659454822540283,1.7258449792861938,2.023040294647217,1.322844386100769,1.0413585901260376,1.2433059215545654,1.264162540435791,0.6826968193054199,0.0016615412896499038,0.12476907670497894,0.0
4500,4500,22.5,0.1125,joint,4500,Sprime,True,True,True,2278,2222,0.05695,11.11,1.604036808013916,1.9117314097881317,1.7286034072520302,2.0862752872053534,0.001,0.001,20.286053646355867,1.994584321975708,1.9921132326126099,1.0104864835739136,0.5069291883063973,1.9657245874404907,0.9436385631561279,1.1420685052871704,0.018454141914844513,0.017776446009541126,2.194093097936607,4.3463896872708574e-05,-0.006262835115194321,0.0005497577367350459,1.9657245874404907,1.7230995893478394,2.0205249786376953,1.322727084159851,1.0450507402420044,1.2430076599121094,1.2765015363693237,0.6771985292434692,0.0017319166800007224,0.12458602339029312,0.0
