step,samples_seen,step_over_d,step_over_d2,phase,phase_step,last_task,train_W,train_w,include_lora,n_S_seen,n_Sprime_seen,n_S_over_d2,n_Sprime_over_d,train_loss_last,train_loss_mean_since_log,train_loss_S_mean_since_log,train_loss_Sprime_mean_since_log,lr_W,lr_w,elapsed_sec,Q0,Q,M,rho_W,eps_W,q0,q,m,rho_w,eps_w,C_W_from_wstar,C_w_from_Wstar,C_W_w,Delta_eff,E_S,E_Sprime,E_S_W_only,grad_W_S_norm,grad_W_Sprime_norm,grad_w_S_norm,grad_w_Sprime_norm,Gamma_W,Gamma_w,F_S
0,0,0.0,0.0,initial,0,none,False,False,True,0,0,0.0,0.0,nan,nan,nan,nan,0.001,0.001,1.3951212167739868e-06,1.994584321975708,1.9937628507614136,1.0102918148040771,0.5066218122332676,1.9677635431289673,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010037183528766036,-0.006856794003397226,0.0010086463298648596,1.9677635431289673,1.7028573751449585,2.074957847595215,1.3014473915100098,1.022336721420288,1.2455722093582153,1.1831740140914917,0.723021388053894,0.0012609993573278189,0.12061996012926102,0.0
100,100,0.5,0.0025,pretrain_W_on_S,100,S,True,False,False,100,0,0.0025,0.0,0.49480751156806946,1.328701274394989,1.328701274394989,nan,0.001,0.001,0.4324195757508278,1.994584321975708,1.9937057495117188,1.010292649269104,0.5066294856559694,1.9677047729492188,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-9.932303510140628e-05,-0.006856794003397226,0.0010080881183966994,1.9677047729492188,1.702832579612732,2.0749456882476807,1.3014144897460938,1.0223909616470337,1.2456161975860596,1.1831698417663574,0.723112940788269,0.0012609417317435145,0.12060858309268951,0.0
200,200,1.0,0.005,pretrain_W_on_S,200,S,True,False,False,200,0,0.005,0.0,1.3386436700820923,1.4180851477384566,1.4180851477384566,nan,0.001,0.001,0.7012718711048365,1.994584321975708,1.9936468601226807,1.010293960571289,0.5066376257306213,1.9676432609558105,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-9.933519322657958e-05,-0.006856794003397226,0.0010079755447804928,1.9676432609558105,1.7028026580810547,2.0749173164367676,1.3013801574707031,1.0223612785339355,1.2456576824188232,1.1830873489379883,0.7230955958366394,0.0012607595417648554,0.12061208486557007,0.0
300,300,1.5,0.0075,pretrain_W_on_S,300,S,True,False,False,300,0,0.0075,0.0,1.1633180379867554,1.4413518130779266,1.4413518130779266,nan,0.001,0.001,0.9694019462913275,1.994584321975708,1.9935911893844604,1.0102986097335815,0.5066470310448462,1.9675782918930054,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010039825428975746,-0.006856794003397226,0.001007871818728745,1.9675782918930054,1.7027713060379028,2.0748960971832275,1.301344633102417,1.0223158597946167,1.2456554174423218,1.183135986328125,0.7230748534202576,0.0012599979527294636,0.12061723321676254,0.0
400,400,2.0,0.01,pretrain_W_on_S,400,S,True,False,False,400,0,0.01,0.0,1.9753386974334717,1.315347184985876,1.315347184985876,nan,0.001,0.001,1.2426987309008837,1.994584321975708,1.993539810180664,1.0103023052215576,0.5066554131181903,1.9675195217132568,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-9.991650586016476e-05,-0.006856794003397226,0.0010066339746117592,1.9675195217132568,1.7027474641799927,2.0748727321624756,1.3013131618499756,1.0223311185836792,1.2456525564193726,1.1830875873565674,0.7230803370475769,0.0012594170402735472,0.12062065303325653,0.0
500,500,2.5,0.0125,pretrain_W_on_S,500,S,True,False,False,500,0,0.0125,0.0,0.4728327691555023,1.346838697195053,1.346838697195053,nan,0.001,0.001,1.5140644889324903,1.994584321975708,1.9934881925582886,1.010306477546692,0.506664064921514,1.9674595594406128,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-9.939918527379632e-05,-0.006856794003397226,0.0010072023142129183,1.9674595594406128,1.702715516090393,2.074852705001831,1.3012778759002686,1.022291898727417,1.2456398010253906,1.1830328702926636,0.7231915593147278,0.0012586809461936355,0.12059847265481949,0.0
600,600,3.0,0.015,pretrain_W_on_S,600,S,True,False,False,600,0,0.015,0.0,1.1284000873565674,1.4631654022634029,1.4631654022634029,nan,0.001,0.001,1.7826566435396671,1.994584321975708,1.9934269189834595,1.0103086233139038,0.5066729278421234,1.9673939943313599,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010099124483531341,-0.006856794003397226,0.0010060893837362528,1.9673939943313599,1.702690601348877,2.0748326778411865,1.301240086555481,1.022228479385376,1.245657205581665,1.1829787492752075,0.7232682108879089,0.0012579452013596892,0.12059777975082397,0.0
700,700,3.5,0.0175,pretrain_W_on_S,700,S,True,False,False,700,0,0.0175,0.0,0.959090530872345,1.3897096754610538,1.3897096754610538,nan,0.001,0.001,2.048326639458537,1.994584321975708,1.9933687448501587,1.0103100538253784,0.5066810385327538,1.9673329591751099,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010166554420720786,-0.006856794003397226,0.0010063928784802556,1.9673329591751099,1.7026662826538086,2.0748085975646973,1.3012155294418335,1.0221835374832153,1.2456210851669312,1.1829472780227661,0.7232980728149414,0.0012572492705658078,0.12059088796377182,0.0
800,800,4.0,0.02,pretrain_W_on_S,800,S,True,False,False,800,0,0.02,0.0,1.0846500396728516,1.4159582781791686,1.4159582781791686,nan,0.001,0.001,2.315341094508767,1.994584321975708,1.9933110475540161,1.0103124380111694,0.5066895672477737,1.9672704935073853,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010208511230302975,-0.006856794003397226,0.0010064177913591266,1.9672704935073853,1.7026346921920776,2.0747880935668945,1.30118727684021,1.0221588611602783,1.2456783056259155,1.183016300201416,0.7233261466026306,0.0012564921053126454,0.12059178948402405,0.0
900,900,4.5,0.0225,pretrain_W_on_S,900,S,True,False,False,900,0,0.0225,0.0,1.0039646625518799,1.4102528512477874,1.4102528512477874,nan,0.001,0.001,2.5831621158868074,1.994584321975708,1.993251919746399,1.0103156566619873,0.5066986966437881,1.9672049283981323,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010266179742757231,-0.006856794003397226,0.0010059603955596685,1.9672049283981323,1.702604055404663,2.074763059616089,1.3011481761932373,1.0222246646881104,1.2456765174865723,1.1830929517745972,0.7233939170837402,0.0012563299387693405,0.12059279531240463,0.0
1000,1000,5.0,0.025,pretrain_W_on_S,1000,S,True,False,False,1000,0,0.025,0.0,1.6186548471450806,1.4635747548937799,1.4635747548937799,nan,0.001,0.001,2.8518186789005995,1.994584321975708,1.993196964263916,1.0103187561035156,0.5067072362931175,1.9671437740325928,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010388393275206909,-0.006856794003397226,0.0010058939224109054,1.9671437740325928,1.7025781869888306,2.0747408866882324,1.30111825466156,1.0222383737564087,1.245681881904602,1.1831861734390259,0.7233865857124329,0.0012563697528094053,0.12059372663497925,0.0
