step,samples_seen,step_over_d,step_over_d2,phase,phase_step,last_task,train_W,train_w,include_lora,n_S_seen,n_Sprime_seen,n_S_over_d2,n_Sprime_over_d,train_loss_last,train_loss_mean_since_log,train_loss_S_mean_since_log,train_loss_Sprime_mean_since_log,lr_W,lr_w,elapsed_sec,Q0,Q,M,rho_W,eps_W,q0,q,m,rho_w,eps_w,C_W_from_wstar,C_w_from_Wstar,C_W_w,Delta_eff,E_S,E_Sprime,E_S_W_only,grad_W_S_norm,grad_W_Sprime_norm,grad_w_S_norm,grad_w_Sprime_norm,Gamma_W,Gamma_w,F_S
0,0,0.0,0.0,initial,0,none,False,False,True,0,0,0.0,0.0,nan,nan,nan,nan,0.001,0.001,1.5422701835632324e-06,1.994584321975708,1.9937628507614136,1.0102918148040771,0.5066218122332676,1.9677635431289673,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010037183528766036,-0.006856794003397226,0.0010086463298648596,1.9677635431289673,1.747550129890442,2.043030023574829,1.3237707614898682,1.022336721420288,1.2455722093582153,1.1831740140914917,0.723021388053894,0.0012609993573278189,0.12061996012926102,0.0
500,500,2.5,0.0125,pretrain_W_on_S,500,S,True,False,False,500,0,0.0125,0.0,0.4728327691555023,1.3700648234784603,1.3700648234784603,nan,0.001,0.001,2.1462257262319326,1.994584321975708,1.9934881925582886,1.010306477546692,0.506664064921514,1.9674595594406128,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-9.939918527379632e-05,-0.006856794003397226,0.0010072023142129183,1.9674595594406128,1.7474333047866821,2.042917013168335,1.3236218690872192,1.022291898727417,1.2456398010253906,1.1830328702926636,0.7231915593147278,0.0012586809461936355,0.12059847265481949,0.0
1000,1000,5.0,0.025,pretrain_W_on_S,1000,S,True,False,False,1000,0,0.025,0.0,1.6186548471450806,1.4285321924090386,1.4285321924090386,nan,0.001,0.001,4.1870090663433075,1.994584321975708,1.993196964263916,1.0103187561035156,0.5067072362931175,1.9671437740325928,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010388393275206909,-0.006856794003397226,0.0010058939224109054,1.9671437740325928,1.747310996055603,2.0427961349487305,1.3234632015228271,1.0222383737564087,1.245681881904602,1.1831861734390259,0.7233865857124329,0.0012563697528094053,0.12059372663497925,0.0
1500,1500,7.5,0.0375,pretrain_W_on_S,1500,S,True,False,False,1500,0,0.0375,0.0,1.7254263162612915,1.329384072303772,1.329384072303772,nan,0.001,0.001,6.229904398322105,1.994584321975708,1.9929255247116089,1.0103302001953125,0.5067474822442394,1.966849446296692,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010475320596015081,-0.006856794003397226,0.0010016992455348372,1.966849446296692,1.7471957206726074,2.0426886081695557,1.323313593864441,1.022255778312683,1.2456423044204712,1.1830614805221558,0.7235949635505676,0.0012571846600621939,0.1205599308013916,0.0
2000,2000,10.0,0.05,pretrain_W_on_S,2000,S,True,False,False,2000,0,0.05,0.0,0.4446162283420563,1.3401428137421607,1.3401428137421607,nan,0.001,0.001,8.296895353123546,1.994584321975708,1.9926514625549316,1.0103437900543213,0.5067891458471246,1.966548204421997,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010359224688727409,-0.006856794003397226,0.0010025710798799992,1.966548204421997,1.7470911741256714,2.0425705909729004,1.3231627941131592,1.02226984500885,1.245821237564087,1.1831196546554565,0.7238866090774536,0.0012550671817734838,0.12051865458488464,0.0
2500,2500,12.5,0.0625,pretrain_W_on_S,2500,S,True,False,False,2500,0,0.0625,0.0,2.2993314266204834,1.3201179228425026,1.3201179228425026,nan,0.001,0.001,10.387726342305541,1.994584321975708,1.992387056350708,1.0103576183319092,0.5068297090163234,1.9662561416625977,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010148229193873703,-0.006856794003397226,0.0010020488407462835,1.9662561416625977,1.746980905532837,2.0424563884735107,1.3230174779891968,1.0225105285644531,1.2457306385040283,1.1832258701324463,0.7241688370704651,0.0012529648374766111,0.12046008557081223,0.0
3000,3000,15.0,0.075,pretrain_W_on_S,3000,S,True,False,False,3000,0,0.075,0.0,0.4203709065914154,1.3570712821483613,1.3570712821483613,nan,0.001,0.001,12.426825523376465,1.994584321975708,1.9921081066131592,1.0103724002838135,0.5068726084482345,1.9659476280212402,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.0001008471954264678,-0.006856794003397226,0.001000531716272235,1.9659476280212402,1.7468589544296265,2.0423333644866943,1.3228603601455688,1.022651195526123,1.2458745241165161,1.1833064556121826,0.7241432666778564,0.001254693022929132,0.12047390639781952,0.0
3500,3500,17.5,0.0875,pretrain_W_on_S,3500,S,True,False,False,3500,0,0.0875,0.0,1.3632255792617798,1.346225407242775,1.346225407242775,nan,0.001,0.001,14.45708479732275,1.994584321975708,1.9918335676193237,1.0103864669799805,0.5069145962653931,1.9656449556350708,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010196786024607718,-0.006856794003397226,0.0010005164658650756,1.9656449556350708,1.746748447418213,2.042214870452881,1.3227070569992065,1.022631287574768,1.2459992170333862,1.1833178997039795,0.7244011759757996,0.001251855748705566,0.12044893205165863,0.0
4000,4000,20.0,0.1,pretrain_W_on_S,4000,S,True,False,False,4000,0,0.1,0.0,0.8974025249481201,1.3603252282738685,1.3603252282738685,nan,0.001,0.001,16.494918923825026,1.994584321975708,1.991554856300354,1.0104039907455444,0.5069588578627136,1.9653311967849731,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-9.787077578948811e-05,-0.006856794003397226,0.0010036287130787969,1.9653311967849731,1.7466174364089966,2.0420868396759033,1.3225445747375488,1.0224369764328003,1.2462427616119385,1.1831326484680176,0.7245595455169678,0.0012515842681750655,0.12044114619493484,0.0
4500,4500,22.5,0.1125,pretrain_W_on_S,4500,S,True,False,False,4500,0,0.1125,0.0,1.0649749040603638,1.36126365172863,1.36126365172863,nan,0.001,0.001,18.515409722924232,1.994584321975708,1.991288423538208,1.0104196071624756,0.5070006079545909,1.9650335311889648,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-9.810652409214526e-05,-0.006856794003397226,0.0010010211262851954,1.9650335311889648,1.7464978694915771,2.0419728755950928,1.322387456893921,1.0225474834442139,1.2463024854660034,1.183205246925354,0.7246806621551514,0.001251082168892026,0.1204436644911766,0.0
5000,5000,25.0,0.125,pretrain_W_on_S,5000,S,True,False,False,5000,0,0.125,0.0,0.5990987420082092,1.3522553443014622,1.3522553443014622,nan,0.001,0.001,20.544933810830116,1.994584321975708,1.9910149574279785,1.0104342699050903,0.5070427829159394,1.9647307395935059,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-9.991044498747215e-05,-0.006856794003397226,0.0009999413741752505,1.9647307395935059,1.746384620666504,2.0418574810028076,1.3222370147705078,1.022453784942627,1.2463752031326294,1.1830205917358398,0.7246581315994263,0.0012516406131908298,0.12044492363929749,0.0
