step,samples_seen,step_over_d,step_over_d2,phase,phase_step,last_task,train_W,train_w,include_lora,n_S_seen,n_Sprime_seen,n_S_over_d2,n_Sprime_over_d,train_loss_last,train_loss_mean_since_log,train_loss_S_mean_since_log,train_loss_Sprime_mean_since_log,lr_W,lr_w,elapsed_sec,Q0,Q,M,rho_W,eps_W,q0,q,m,rho_w,eps_w,C_W_from_wstar,C_w_from_Wstar,C_W_w,Delta_eff,E_S,E_Sprime,E_S_W_only,grad_W_S_norm,grad_W_Sprime_norm,grad_w_S_norm,grad_w_Sprime_norm,Gamma_W,Gamma_w,F_S
0,0,0.0,0.0,initial,0,none,False,False,True,0,0,0.0,0.0,nan,nan,nan,nan,0.001,0.001,1.1920928955078125e-06,1.994584321975708,1.9937628507614136,1.0102918148040771,0.5066218122332676,1.9677635431289673,0.9436385631561279,1.1904999017715454,0.01875934563577175,0.017699058428111432,2.307039927896056,-0.00010037183528766036,-0.006856794003397226,0.0010086463298648596,1.9677635431289673,1.747550129890442,2.043030023574829,1.3237707614898682,1.022336721420288,1.2455722093582153,1.1831740140914917,0.723021388053894,0.0012609993573278189,0.12061996012926102,0.0
400,400,2.0,0.01,train_w,400,S,False,True,True,207,193,0.005175,0.965,2.735059976577759,2.031538434065878,1.8575593883144683,2.2181377214780125,0.001,0.001,2.1994033455848694,1.994584321975708,1.9937628507614136,1.0102918148040771,0.5066218122332676,1.9677635431289673,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,-0.00010037183528766036,-0.006802216172218323,0.0009931912645697594,1.9677635431289673,1.7452359199523926,2.040863037109375,1.3237707614898682,1.0242952108383179,1.2456556558609009,1.190995693206787,0.7178710103034973,0.001302032615058124,0.1208837553858757,0.0
500,500,2.5,0.0125,train_W,100,Sprime,True,False,True,259,241,0.006475,1.205,0.8558322191238403,1.9279319763183593,1.996679743895164,1.8534552281101544,0.001,0.001,3.8499509673565626,1.994584321975708,1.9937307834625244,1.0102977752685547,0.5066288754501317,1.967719554901123,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,-9.723891707835719e-05,-0.006802216172218323,0.0009877813281491399,1.967719554901123,1.7452127933502197,2.0408411026000977,1.323748230934143,1.0242071151733398,1.2456110715866089,1.190877914428711,0.7179874777793884,0.0013014702126383781,0.12085650861263275,0.0
1000,1000,5.0,0.025,train_W,600,Sprime,True,False,True,492,508,0.0123,2.54,2.8049821853637695,1.9181520707011224,1.8161754660596152,2.007142890481913,0.001,0.001,5.983040111139417,1.994584321975708,1.9935253858566284,1.0103154182434082,0.5066638221482109,1.96747887134552,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,-8.358306513400748e-05,-0.006802216172218323,0.0009616519673727453,1.96747887134552,1.7451094388961792,2.0407228469848633,1.323626160621643,1.0242893695831299,1.245543122291565,1.1910487413406372,0.7180827856063843,0.001300039584748447,0.1208527609705925,0.0
1500,1500,7.5,0.0375,train_W,1100,Sprime,True,False,True,752,748,0.0188,3.74,1.7924325466156006,1.8846248992085457,1.794655513476867,1.9820917337511976,0.001,0.001,8.10888091288507,1.994584321975708,1.9933534860610962,1.0103377103805542,0.5066968479127504,1.9672623872756958,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,-6.546497024828568e-05,-0.006802216172218323,0.0009350563050247729,1.9672623872756958,1.7450149059295654,2.0406205654144287,1.32351553440094,1.0243717432022095,1.2453887462615967,1.1910589933395386,0.7179926633834839,0.0013018290046602488,0.12083102017641068,0.0
2000,2000,10.0,0.05,train_W,1600,Sprime,True,False,True,1001,999,0.025025,4.995,0.5786613821983337,1.8749447693824768,1.691151482991904,2.057273567435276,0.001,0.001,10.234957600012422,1.994584321975708,1.993175983428955,1.0103588104248047,0.5067299918023288,1.9670426845550537,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,-4.736695336760022e-05,-0.006802216172218323,0.0009071443346329033,1.9670426845550537,1.7449239492416382,2.040511131286621,1.3234050273895264,1.0243237018585205,1.2453919649124146,1.191048502922058,0.7181211113929749,0.0013002128107473254,0.12080762535333633,0.0
2500,2500,12.5,0.0625,train_W,2100,Sprime,True,False,True,1263,1237,0.031575,6.185,3.5564329624176025,1.8482775225639343,1.66840481200746,2.0462886577143387,0.001,0.001,12.361281488090754,1.994584321975708,1.99299955368042,1.0103793144226074,0.5067627042952919,1.966825246810913,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,-3.206891778972931e-05,-0.006802216172218323,0.0008788633276708424,1.966825246810913,1.7448301315307617,2.0404036045074463,1.3232941627502441,1.024533748626709,1.2454246282577515,1.191062569618225,0.7183735370635986,0.0012988236267119646,0.12076667696237564,0.0
3000,3000,15.0,0.075,train_W,2600,Sprime,True,False,True,1517,1483,0.037925,7.415,0.36714133620262146,1.8420279677063227,1.7420936605533746,1.9452121710268462,0.001,0.001,14.489767339080572,1.994584321975708,1.992815613746643,1.0103989839553833,0.5067959570875041,1.9666019678115845,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,-1.892652471724432e-05,-0.006802216172218323,0.0008520465926267207,1.9666019678115845,1.7447313070297241,2.0403006076812744,1.323178768157959,1.0247061252593994,1.2455724477767944,1.1911756992340088,0.7185729742050171,0.0012991126859560609,0.12074179947376251,0.0
3500,3500,17.5,0.0875,train_W,3100,Sprime,True,False,True,1779,1721,0.044475,8.605,3.269526481628418,1.8854486605525016,1.7441098246410602,2.0410401521861052,0.001,0.001,16.615729942917824,1.994584321975708,1.9926331043243408,1.010422706604004,0.5068310651572964,1.966372013092041,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,-5.194091500015929e-06,-0.006802216172218323,0.0008281053160317242,1.966372013092041,1.7446315288543701,2.0401828289031982,1.3230620622634888,1.0247223377227783,1.2456556558609009,1.1912227869033813,0.7189072370529175,0.0012960208114236593,0.12070731073617935,0.0
4000,4000,20.0,0.1,train_W,3600,Sprime,True,False,True,2034,1966,0.05085,9.83,2.781346321105957,1.8737963309288026,1.690687852864172,2.0643786244246423,0.001,0.001,18.742188848555088,1.994584321975708,1.9924507141113281,1.0104503631591797,0.5068681356925079,1.9661343097686768,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,1.0534095054026693e-05,-0.006802216172218323,0.0008020822424441576,1.9661343097686768,1.7445271015167236,2.0400583744049072,1.3229360580444336,1.0245580673217773,1.245727777481079,1.191064476966858,0.7186499238014221,0.0012971480609849095,0.12074364721775055,0.0
4500,4500,22.5,0.1125,train_W,4100,Sprime,True,False,True,2278,2222,0.05695,11.11,1.602538824081421,1.9316872687637805,1.7485216175068596,2.1062670301180333,0.001,0.001,20.867046205326915,1.994584321975708,1.9922780990600586,1.0104730129241943,0.506901455465502,1.965916395187378,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,2.966289503092412e-05,-0.006802216172218323,0.000774096290115267,1.965916395187378,1.744431495666504,2.039952039718628,1.3228222131729126,1.024688720703125,1.2456891536712646,1.1912930011749268,0.7187527418136597,0.0012967797229066491,0.12073013186454773,0.0
5000,5000,25.0,0.125,train_W,4600,S,True,False,True,2532,2468,0.0633,12.34,2.4199273586273193,1.8866306722462178,1.7256201320863145,2.052877327533272,0.001,0.001,22.98644905537367,1.994584321975708,1.9921000003814697,1.0104957818984985,0.5069355365964516,1.9656927585601807,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,4.522094604908489e-05,-0.006802216172218323,0.0007477786857634783,1.9656927585601807,1.7443325519561768,2.0398411750793457,1.3227105140686035,1.0246822834014893,1.2458441257476807,1.1912117004394531,0.7186410427093506,0.001297286245971918,0.12073501199483871,0.0
5500,5500,27.5,0.1375,train_W,5100,S,True,False,True,2789,2711,0.069725,13.555,2.2957844734191895,1.902275665819645,1.7385814666516122,2.075400806503531,0.001,0.001,25.094459598883986,1.994584321975708,1.991910696029663,1.0105175971984863,0.5069705693344935,1.9654598236083984,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,6.15209064562805e-05,-0.006802216172218323,0.0007190339965745807,1.9654598236083984,1.7442309856414795,2.0397160053253174,1.3225919008255005,1.0246238708496094,1.2458770275115967,1.1910016536712646,0.7186996340751648,0.0012976572616025805,0.12071837484836578,0.0
6000,6000,30.0,0.15,train_W,5600,Sprime,True,False,True,3033,2967,0.075825,14.835,4.798223972320557,1.96922848123312,1.7693862107689264,2.1597031452693045,0.001,0.001,27.20283280685544,1.994584321975708,1.99172842502594,1.010537028312683,0.5070035151707147,1.9652386903762817,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,7.732286030659452e-05,-0.006802216172218323,0.0006893949466757476,1.9652386903762817,1.7441377639770508,2.0396056175231934,1.3224846124649048,1.0246294736862183,1.2457929849624634,1.1909103393554688,0.7187132835388184,0.001296808710321784,0.1207062155008316,0.0
6500,6500,32.5,0.1625,train_W,6100,S,True,False,True,3281,3219,0.082025,16.095,1.3714196681976318,1.9272688172161578,1.7747155931447782,2.077400561540373,0.001,0.001,29.300497099757195,1.994584321975708,1.991538643836975,1.010557770729065,0.5070380790456626,1.9650074243545532,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,9.463824972044677e-05,-0.006802216172218323,0.0006621707580052316,1.9650074243545532,1.7440365552902222,2.039491891860962,1.3223692178726196,1.024672508239746,1.2456468343734741,1.1909823417663574,0.7186625599861145,0.0012954914709553123,0.12069869786500931,0.0
7000,7000,35.0,0.175,train_W,6600,Sprime,True,False,True,3550,3450,0.08875,17.25,3.733582019805908,1.8607654435038568,1.6963887991293656,2.052182401671554,0.001,0.001,31.41406345553696,1.994584321975708,1.9913572072982788,1.0105823278427124,0.5070734990138814,1.964776873588562,0.9436385631561279,1.1857140064239502,0.01860128529369831,0.017585314443709983,2.295679427276142,0.00011105613521067426,-0.006802216172218323,0.0006349750328809023,1.964776873588562,1.7439327239990234,2.0393762588500977,1.322246789932251,1.0246037244796753,1.245583415031433,1.1908639669418335,0.7188293933868408,0.0012965002097189426,0.12066179513931274,0.0
